28,24,4,10,26,13,14,14,28,25,14,24,22,15,9,29,0,17,20,23,16,3,30,27,2,2,23,3,25,6,1,29,19,2,4,11,20,12,19,24,13,9,20,24,8,1,25,4,28,15,17,7,2,1,7,12,24,8,6,24,8,12,25,4,3,20,0,26,30,17,2,4,5,24,0,15,8,28,16,5,5,30,20,20,25,1,8

5,7,10,30,29,2,26,29,8,8,30,23,12,29,8,29,29,25,29,6,13,10,4,16,18,23,29,13,0,10,15,3,1,21,17,13,8,21,27,2,29,11,5,4,19,9,17,24,29,15,8,7,26,14,15,7,23,10,23,10,24,19,2,0,21,8,6,16,14,15,15,24,20,6,0,6,8,7,29,10,23,5,13,17,21,25,4

19,18,1,26,11,2,8,23,24,18,28,14,20,6,4,29,23,0,11,28,18,21,7,5,20,15,1,22,30,27,26,27,24,24,0,8,17,20,17,5,19,27,12,9,26,6,24,20,5,21,9,18,8,0,21,11,24,24,10,22,22,17,18,2,7,16,28,4,23,1,16,16,10,21,18,6,0,6,2,11,13,0,23,3,20,6,12

1,0,9,1,21,14,10,11,12,12,25,17,16,2,7,13,7,19,16,22,12,27,8,6,21,9,12,12,4,15,6,3,3,17,2,7,28,26,16,18,9,14,0,19,5,16,19,3,7,23,14,0,7,7,4,3,7,26,20,3,4,29,4,3,22,8,20,13,27,27,26,15,27,10,12,15,7,24,22,5,2,13,5,3,3,8,3

5,2,19,10,23,25,9,11,6,9,3,6,11,13,13,7,19,1,1,5,9,23,25,24,29,25,3,0,29,8,7,22,21,0,2,11,19,19,16,30,3,24,20,2,17,1,21,12,19,1,25,8,13,22,22,2,25,7,18,18,28,1,5,17,19,7,16,0,18,7,12,23,20,24,26,22,18,4,6,11,30,25,22,9,10,29,8

3,16,10,22,9,28,25,20,0,0,8,3,9,4,6,23,13,6,3,2,25,28,3,22,9,11,6,10,25,24,24,21,19,19,28,1,5,3,24,20,11,25,27,18,17,30,5,15,6,28,15,4,8,4,13,20,25,0,26,28,4,25,15,2,5,0,18,19,6,3,8,0,16,6,11,27,9,29,10,19,17,19,11,1,5,22,18

21,26,19,0,17,9,19,14,18,30,6,25,27,24,7,15,28,28,6,15,11,21,3,18,24,19,2,9,5,5,25,5,2,30,9,16,22,3,2,3,15,27,18,2,16,8,6,10,30,20,18,13,16,2,4,1,19,17,17,25,23,28,16,27,26,10,1,28,13,23,29,23,30,21,2,15,18,8,15,26,14,15,1,16,13,17,10

18,8,0,24,6,13,10,3,9,0,1,24,18,1,12,18,11,28,1,13,2,14,29,22,0,0,26,5,26,24,25,14,10,17,2,14,14,9,7,3,3,6,25,12,9,30,26,21,14,17,28,0,5,23,6,27,20,26,28,3,28,15,14,19,21,28,1,15,30,8,0,16,30,2,30,29,11,25,30,28,18,3,17,22,12,20,14

19,6,0,0,0,28,7,6,26,2,3,21,4,17,17,4,15,3,4,3,12,27,28,9,23,10,11,23,30,19,23,20,30,27,23,13,23,7,18,1,23,22,23,7,12,10,29,25,18,0,13,23,20,4,20,20,18,25,6,12,14,20,14,8,26,7,30,5,22,0,23,14,13,19,8,23,8,5,27,22,4,7,14,20,7,30,11

23,6,5,28,19,3,21,17,17,7,27,25,12,24,1,7,7,6,27,28,10,1,24,26,25,17,17,4,0,13,28,19,13,21,18,22,9,11,13,8,13,12,28,27,26,15,22,10,10,29,20,8,13,5,18,14,28,13,14,0,18,29,10,1,12,6,2,24,19,11,25,10,13,18,28,25,4,15,2,7,14,14,4,22,17,8,10

